1,freshjp,Q15_Kw,27.56,2019/05/05,manchofu
2,freshjp,Q15_Kw,29.85,2019/05/09,ふぁじい
3,freshjp,Q15_Kw,37.03,2019/05/05,gori.sh
4,freshjp,Q15_Kw,41.65,2019/05/15,もも
5,freshjp,Q15_Kw,49.48,2019/05/14,パロ・ウル
6,freshjp,Q15_Kw,51.00,2019/05/05,あきつ
7,freshjp,Q15_Kw,55.26,2019/05/11,HAL900
8,freshjp,Q15_Kw,55.46,2019/05/05,わあい
9,freshjp,Q15_Kw,58.95,2019/05/05,タクマ
10,freshjp,Q15_Kw,1.05.53,2019/05/14,ソロ
11,freshjp,Q15_Kw,1.06.35,2019/05/14,みーり
12,freshjp,Q15_Kw,1.12.90,2019/05/05,みなみぜう
13,freshjp,Q15_Kw,1.16.78,2019/05/05,えみち
14,freshjp,Q15_Kw,1.20.85,2019/05/05,ぎんれい
15,freshjp,Q15_Kw,1.22.11,2019/05/05,SDL2
16,freshjp,Q15_Kw,1.26.71,2019/05/05,REI
17,freshjp,Q15_Kw,1.27.30,2019/05/05,Maza
18,freshjp,Q15_Kw,1.28.61,2019/05/05,ねこみ
19,freshjp,Q15_Kw,1.30.30,2019/05/05,コンビニうけとり
20,freshjp,Q15_Kw,1.31.40,2019/05/05,ぎんしゃり
