1,freshjp,Q15_Kw,27.56,2019/05/05,manchofu
2,freshjp,Q15_Kw,37.03,2019/05/05,gori.sh
3,freshjp,Q15_Kw,51.00,2019/05/05,あきつ
4,freshjp,Q15_Kw,51.50,2019/05/05,パロ・ウル
5,freshjp,Q15_Kw,55.46,2019/05/05,わあい
6,freshjp,Q15_Kw,58.95,2019/05/05,タクマ
7,freshjp,Q15_Kw,1.12.90,2019/05/05,みなみぜう
8,freshjp,Q15_Kw,1.16.78,2019/05/05,えみち
9,freshjp,Q15_Kw,1.20.85,2019/05/05,ぎんれい
10,freshjp,Q15_Kw,1.22.11,2019/05/05,SDL2
11,freshjp,Q15_Kw,1.26.71,2019/05/05,REI
12,freshjp,Q15_Kw,1.27.30,2019/05/05,Maza
13,freshjp,Q15_Kw,1.28.61,2019/05/05,ねこみ
14,freshjp,Q15_Kw,1.30.30,2019/05/05,コンビニうけとり
15,freshjp,Q15_Kw,1.31.40,2019/05/05,ぎんしゃり
16,freshjp,Q15_Kw,1.40.88,2019/05/05,ワニくん
17,freshjp,Q15_Kw,1.50.93,2019/05/05,おにいちゃん
18,freshjp,Q15_Kw,2.09.90,2019/05/07,ひににも
19,freshjp,Q15_Kw,2.12.16,2019/05/05,10D
