1,freshjp,Ch16train_Kw,46.93,2019/05/13,みきちず
2,freshjp,Ch16train_Kw,47.18,2019/05/12,あきつ
3,freshjp,Ch16train_Kw,56.25,2019/05/05,ふぁじい
4,freshjp,Ch16train_Kw,59.41,2019/05/08,TKDL
5,freshjp,Ch16train_Kw,1.00.85,2019/05/05,akira6129
6,freshjp,Ch16train_Kw,1.03.60,2019/05/05,manchofu
7,freshjp,Ch16train_Kw,1.20.80,2019/05/05,SDL2
8,freshjp,Ch16train_Kw,1.26.48,2019/05/05,&#32;
9,freshjp,Ch16train_Kw,1.29.56,2019/05/05,みっちゃん!
10,freshjp,Ch16train_Kw,1.34.43,2019/05/06,とおろ
11,freshjp,Ch16train_Kw,1.34.48,2019/05/13,パロ・ウル
12,freshjp,Ch16train_Kw,1.36.36,2019/05/06,ソロ
13,freshjp,Ch16train_Kw,1.54.06,2019/05/13,たいし
14,freshjp,Ch16train_Kw,2.41.96,2019/05/15,guterham
